order,group,lb,cap,lmax,dpm,method,nodes,seconds,witness
272,C4+C4+C17,8,8,8,9,pinned,0,0.00,"(1,0,1) (2,0,2) (0,0,4) (0,0,8) (0,0,16) (0,0,15) (0,1,0) (0,2,0)"
272,C2+C2+C4+C17,8,8,8,9,pinned,0,0.00,"(0,0,1,1) (0,0,2,2) (0,0,0,4) (0,0,0,8) (0,0,0,16) (0,0,0,15) (1,0,0,0) (0,1,0,0)"
272,C2+C2+C2+C2+C17,8,8,8,9,pinned,0,0.00,"(1,0,0,0,1) (0,0,0,0,2) (0,0,0,0,4) (0,0,0,0,8) (0,0,0,0,16) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0)"
273,C3+C7+C13,8,8,8,9,pinned,0,0.00,"(1,1,1) (2,2,2) (1,4,4) (2,1,8) (1,2,3) (2,4,6) (1,1,12) (2,2,11)"
274,C2+C137,8,8,8,9,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64) (0,128)"
275,C11+C25,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (5,16) (10,7) (9,14) (7,3)"
275,C5+C5+C11,7,8,TIMEOUT,,search,,>600,
276,C3+C4+C23,8,8,8,9,pinned,0,0.00,"(1,1,1) (2,2,2) (1,0,4) (2,0,8) (1,0,16) (2,0,9) (1,0,18) (2,0,13)"
276,C2+C2+C3+C23,8,8,8,9,pinned,0,0.00,"(1,0,1,1) (0,0,2,2) (0,0,1,4) (0,0,2,8) (0,0,1,16) (0,0,2,9) (0,0,1,18) (0,1,0,0)"
277,C277,8,8,8,9,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,) (128,)"
278,C2+C139,8,8,8,9,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64) (0,128)"
279,C9+C31,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (7,16) (5,1) (1,2) (2,4)"
279,C3+C3+C31,7,8,TIMEOUT,,search,,>600,
280,C5+C7+C8,8,8,8,9,pinned,0,0.01,"(1,1,1) (2,2,2) (4,4,4) (3,1,0) (1,2,0) (2,4,0) (4,1,0) (3,2,0)"
280,C2+C4+C5+C7,8,8,8,9,pinned,0,0.01,"(0,1,1,1) (0,2,2,2) (0,0,4,4) (0,0,3,1) (0,0,1,2) (0,0,2,4) (0,0,4,1) (1,0,0,0)"
280,C2+C2+C2+C5+C7,8,8,8,9,pinned,0,0.00,"(1,0,0,1,1) (0,0,0,2,2) (0,0,0,4,4) (0,0,0,3,1) (0,0,0,1,2) (0,0,0,2,4) (0,1,0,0,0) (0,0,1,0,0)"
281,C281,8,8,8,9,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,) (128,)"
282,C2+C3+C47,8,8,8,9,pinned,0,0.01,"(1,1,1) (0,2,2) (0,1,4) (0,2,8) (0,1,16) (0,2,32) (0,1,17) (0,2,34)"
283,C283,8,8,8,9,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,) (128,)"
