graph6	class	class_sizes
S??????_E?M?QCHCOo@E?Cg?X??J??PO?	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@E?Cg?HG?p??J??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@E??w?S_?p??QO?	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@B?DO?P_?T??SO?	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@B?DO?H_?T??cO?	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?J?KO?X??DO?T??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?J?KO?R??PO?T??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?J?KO?P_?SO?T??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCW?Ao?Ag?J??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCS?@o?Cg?R??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCS?@S?K_?BO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCQ?Ao?E_?HO?B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCQ?Ag?F??HO?B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCQ?Ag?E_?IO?B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCQ?Ag?EG?J??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCQ?@c?K_?BO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCQ?@S?K_?DO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCQ?@K?M??BO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCQ?@K?L??DO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCQ?@K?K_?EO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCQ??q?E_?X??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCQ??i?F??X??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCQ??i?E_?Y??B_?	E	[13, 13, 12, 12]
