graph6	class	class_sizes
O???C@_UB_QC`OI_@o?M?	E	[10, 10, 10, 10]
O???C@_UB_PCIO`_Ao?M?	E	[10, 10, 10, 10]
O???C@_UB_Oca_EOCo?M?	E	[10, 10, 10, 10]
O???C@_UB_@ci?Co?wCK?	E	[10, 10, 10, 10]
O???C@_UB_?si?B_AgCE?	E	[10, 10, 10, 10]
O???C@_UB_?se?B_CgCE?	E	[10, 10, 10, 10]
O???C@_UB_?sJ?a_AWCI?	E	[10, 10, 10, 10]
O???C@_UB_?sD_h?PG?U?	E	[10, 10, 10, 10]
O???C@_UB_?sD_b?DGCE?	E	[10, 10, 10, 10]
O???C@_UB_?sD_`_PG@Q?	E	[10, 10, 10, 10]
O???C@_UAoU?IO`_?w?L?	T2	-
O???C@_UAoR?h?H_?[?M?	T2	-
O???C@_UAoR?h?Go?s?M?	T2	-
O???C@_UAoR?`_HGCW?M?	T2	-
O???C@_UAoR?gOH_?w?L?	T2	-
O???C@_UAoF?gG`_?w?M?	T2	-
O???C@_UAoQ_g_@g@W@I?	E	[10, 10, 10, 10]
O???C@_UAoE_i??w?wCK?	E	[10, 10, 10, 10]
O???C@_UAoE_gG`_@W?M?	E	[10, 10, 10, 10]
O???C@_UAoE_gG_o@o?M?	E	[10, 10, 10, 10]
O???C@_UAoAoJ?_g?wDA?	E	[10, 10, 10, 10]
O???C@_UAoAo`GBOCWDC?	E	[10, 10, 10, 10]
O???C@_UAoQGgOH_?s?[?	T2	-
O???C@_UAoSCDO_o@o@K?	E	[10, 10, 10, 10]
O???C@_UAoQC`_B_Cg@E?	E	[10, 10, 10, 10]
O???C@_UAoQCB_H_?wDA?	E	[10, 10, 10, 10]
O???C@_UAoQC`OB_Co@E?	E	[10, 10, 10, 10]
O???C@_UAoOch?K_@W?M?	E	[10, 10, 10, 10]
O???C@_UAoOcg_K_@g?M?	E	[10, 10, 10, 10]
O???C@_UAoOcKO_o@o@K?	E	[10, 10, 10, 10]
O???C@_UAoCck?Ao?wCK?	E	[10, 10, 10, 10]
O???C@_UAoCcK_`_?wCQ?	E	[10, 10, 10, 10]
O???C@_UAoCcD_g_@WCI?	E	[10, 10, 10, 10]
O???C@_UAo?sk?H_@gCE?	E	[10, 10, 10, 10]
O???C@_UAo?sd?BOSO@E?	E	[10, 10, 10, 10]
O???C@_UAo?sL?g_@WCI?	E	[10, 10, 10, 10]
O???C@_UAo?sD_h?DGCE?	E	[10, 10, 10, 10]
O???C@_UAo?sD_h?CWCQ?	E	[10, 10, 10, 10]
O???C@_UAoOKh?K_@o?M?	E	[10, 10, 10, 10]
O???C@_UEGU?J?D_@W?F?	E	[10, 10, 10, 10]
O???C@_UEGU?H_F?@W?F?	E	[10, 10, 10, 10]
O???C@_UEGU?H_DO@W?T?	E	[10, 10, 10, 10]
O???C@_UEGU?H_BOAW?T?	E	[10, 10, 10, 10]
O???C@_UEGU?AgE_?w@I?	E	[10, 10, 10, 10]
O???C@_UEGU?AgEO?w@K?	E	[10, 10, 10, 10]
O???C@_UEGU?@gE_@W@I?	E	[10, 10, 10, 10]
O???C@_UEGU?@gCo@g@S?	E	[10, 10, 10, 10]
O???C@_UEGU??wD_@g@S?	E	[10, 10, 10, 10]
O???C@_UEGR?M?Go?w?L?	E	[10, 10, 10, 10]
O???C@_UEGR?GgK_?w?Y?	E	[10, 10, 10, 10]
O???C@_UEGS_CWK_@W?[?	E	[10, 10, 10, 10]
O???C@_UEGQ_L?Go@W?T?	E	[10, 10, 10, 10]
O???C@_UEGQ_L??w@W@S?	E	[10, 10, 10, 10]
O???C@_UEGQ_CoHO@S@S?	E	[10, 10, 10, 10]
O???C@_UEGQ_@oKO@S@S?	E	[10, 10, 10, 10]
