n,a_max,num_anomalous_a,floor_1e9_rho
1007,493,0,989183798
1008,493,0,989949330
1009,494,0,989101133
1010,494,0,989951316
1011,495,0,989016864
1012,495,0,989951358
1013,496,0,988931005
1014,496,0,989949471
1015,497,0,988843568
1016,497,0,989945671
1017,498,0,988754568
1018,498,0,989939972
1019,499,0,988664019
1020,499,0,989932390
1021,500,0,988571932
1022,500,0,989922939
1023,501,0,988478323
1024,501,0,989911634
1025,502,0,988383203
1026,502,0,989898490
1027,503,0,988286586
1028,503,0,989883520
1029,504,0,988188485
1030,504,0,989866741
1031,505,0,988088912
1032,505,0,989848165
1033,506,0,987987880
1034,506,0,989827807
1035,506,0,987966595
1036,507,0,989805680
1037,507,0,988028282
1038,508,0,989781800
1039,508,0,988087902
1040,509,0,989756179
1041,509,0,988145471
1042,510,0,989728831
1043,510,0,988201002
1044,511,0,989699770
1045,511,0,988254511
1046,512,0,989669009
1047,512,0,988306013
1048,513,0,989636562
1049,513,0,988355523
1050,514,0,989602442
1051,514,0,988403054
1052,515,0,989566661
1053,515,0,988448621
1054,516,0,989529234
1055,516,0,988492238
1056,517,0,989490172
1057,517,0,988533921
1058,518,0,989449489
1059,518,0,988573682
1060,519,0,989407198
1061,519,0,988611536
1062,520,0,989363311
1063,520,0,988647496
1064,521,0,989317840
1065,521,0,988681577
1066,522,0,989270799
1067,522,0,988713792
1068,523,0,989222199
1069,523,0,988744154
1070,524,0,989172052
1071,524,0,988772677
1072,525,0,989120371
1073,525,0,988799375
1074,526,0,989067168
1075,526,0,988824260
1076,527,0,989012455
1077,527,0,988847346
1078,528,0,988956243
1079,528,0,988868646
1080,529,0,988898545
1081,529,0,988888172
1082,530,0,988839371
1083,530,0,988905939
1084,531,0,988778734
1085,531,0,988921957
1086,532,0,988716645
1087,532,0,988936240
1088,533,0,988653115
1089,533,0,988948801
1090,534,0,988588156
1091,534,0,988959652
1092,535,0,988521779
1093,535,0,988968806
1094,536,0,988453995
1095,536,0,988976274
1096,537,0,988384815
1097,537,0,988982069
1098,538,0,988314250
1099,538,0,988986203
1100,539,0,988242311
1101,539,0,988988688
1102,540,0,988169009
1103,540,0,988989535
1104,541,0,988094353
1105,541,0,988988758
1106,542,0,988018356
1107,542,0,988986367
1108,543,0,987941027
1109,543,0,988982374
1110,544,0,987862378
1111,544,0,988976791
1112,545,0,987782417
1113,545,0,988969629
1114,546,0,987701156
1115,546,0,988960900
1116,547,0,987618604
1117,547,0,988950614
1118,548,0,987534773
1119,548,0,988938784
1120,549,0,987449671
1121,549,0,988925420
1122,550,0,987363310
1123,550,0,988910533
1124,551,0,987275698
1125,551,0,988894134
1126,552,0,987186846
1127,552,0,988876235
1128,552,0,987168167
1129,553,0,988856846
1130,553,0,987222391
1131,554,0,988835977
1132,554,0,987274883
1133,555,0,988813640
1134,555,0,987325655
1135,556,0,988789845
1136,556,0,987374719
1137,557,0,988764603
1138,557,0,987422086
1139,558,0,988737923
1140,558,0,987467767
1141,559,0,988709817
1142,559,0,987511773
1143,560,0,988680294
1144,560,0,987554117
1145,561,0,988649365
1146,561,0,987594808
1147,562,0,988617040
1148,562,0,987633859
1149,563,0,988583329
1150,563,0,987671279
1151,564,0,988548242
1152,564,0,987707081
1153,565,0,988511789
1154,565,0,987741274
1155,566,0,988473979
1156,566,0,987773870
1157,567,0,988434823
1158,567,0,987804879
1159,568,0,988394330
1160,568,0,987834312
1161,569,0,988352510
1162,569,0,987862180
1163,570,0,988309371
1164,570,0,987888492
1165,571,0,988264925
1166,571,0,987913259
1167,572,0,988219180
1168,572,0,987936492
1169,573,0,988172145
1170,573,0,987958201
1171,574,0,988123830
1172,574,0,987978396
1173,575,0,988074244
1174,575,0,987997086
1175,576,0,988023396
1176,576,0,988014283
1177,577,0,987971296
1178,577,0,988029996
1179,578,0,987917951
1180,578,0,988044235
1181,579,0,987863372
1182,579,0,988057009
1183,580,0,987807567
1184,580,0,988068329
1185,581,0,987750545
1186,581,0,988078204
1187,582,0,987692314
1188,582,0,988086645
1189,583,0,987632883
1190,583,0,988093659
1191,584,0,987572262
1192,584,0,988099257
1193,585,0,987510458
1194,585,0,988103449
1195,586,0,987447480
1196,586,0,988106243
1197,587,0,987383336
1198,587,0,988107649
1199,588,0,987318035
1200,588,0,988107677
1201,589,0,987251585
1202,589,0,988106334
1203,590,0,987183995
1204,590,0,988103631
1205,591,0,987115272
1206,591,0,988099577
1207,592,0,987045425
1208,592,0,988094180
1209,593,0,986974462
1210,593,0,988087450
1211,594,0,986902390
1212,594,0,988079395
1213,595,0,986829219
1214,595,0,988070023
1215,596,0,986754955
1216,596,0,988059345
1217,597,0,986679607
1218,597,0,988047368
1219,598,0,986603182
1220,598,0,988034101
