cube,status,seconds,conflicts,proof_sha256,note
-37.31.43.33.41.34.40.29,UNSAT,0.04,2959,575ba7795ae061a51e402c2abb0c3268747ebec00e2a6e26ff1b8cd9483d4038,153508
-37.31.43.33.41.-34.40.29,UNSAT,0.03,2750,842a9da3eab6b713a498d8f2da25f686a0956d4d656a74d04f51f92dcfacc18e,151057
-37.31.43.33.41.-34.40.-29,UNSAT,0.01,1488,013d540a667a02c5a68ebdcb5bbc8bad3261ff41073f2fd1ca255d6131898c46,70651
-37.31.43.33.41.34.-40.-29,UNSAT,0.03,2769,81f61ee4b07adfbe0065a29f6711f3386de7a9de3583a6f36b4ac025d372884e,147360
-37.31.43.33.41.-34.-40.29,UNSAT,0.01,1411,c32088b2acc3f7ab9dbd7886a7a192fae95d75ce2d9b02f0f777ee97992e82ce,71123
-37.31.43.33.41.-34.-40.-29,UNSAT,0.02,1124,62eef318473973edaceb5dd9e96e524ec2326aaecae88a5a37ecd71682051431,54387
-37.31.43.33.-41.34.40.-29,INDET,0.03,,,
-37.31.43.33.-41.34.40.-29,SPLIT,0.03,,,->16 kids
-37.31.43.33.-41.34.40.29,UNSAT,0.07,3274,8c67bb7639708e021195fadd26946b14696e13d67f54ff9310fa51e9cdff5dee,204348
-37.31.43.33.-41.34.-40.-29,UNSAT,0.01,1598,b5818ced53dfbae6b97729ea461f72015acc24f10b762d96be610bd09a6582f6,76454
-37.31.43.33.-41.34.-40.29,UNSAT,0.02,1288,ee01188b902b6b641b5f080b5849c30038b8c184ca4e45e77293e13703ededb1,63707
-37.31.43.33.-41.-34.40.-29,UNSAT,0.02,1222,f45c0dc4d296f2e7e39b50ba0908bf4840f76ac792606d9ff5bc20d87b5955d4,58510
-37.31.43.33.-41.-34.-40.29,UNSAT,0.01,1301,fc709861b4862a051f591385707fd1db3e7b61368f75a435c5ab37606e309417,64621
-37.31.43.33.-41.-34.-40.-29,UNSAT,0.01,657,328917646fb7ad9f7c7036c9f1760a70035a34969e22f5ebebaf0b6d57eca242,37013
-37.31.43.-33.41.34.40.29,UNSAT,0.02,2474,b238fafced09566d9e80134a5431c49a3c307844a9405d97ffcb7e557eddf1f3,135033
-37.31.43.33.-41.-34.40.29,UNSAT,0.05,2508,7031dbd2a474f1fb55378b6df58c13f7d291b54e280d731df2add231328a923e,133676
-37.31.43.-33.41.34.-40.29,UNSAT,0.03,1700,d8b35e6be26e86f270c323a3922222dea533b47c6293de5169f66ff5689fa670,76221
-37.31.43.-33.41.34.-40.-29,UNSAT,0.01,1240,fd86406afbc84900f407d66be6e4e2ee5d91a53144009d64f4d26d9d35a47dbc,55584
-37.31.43.-33.41.34.40.-29,UNSAT,0.03,1358,e7015f8a79a83d1f2d86472ab3c85f616d334e5ab3cfd6368dd9315216a1b41d,59397
-37.31.43.-33.41.-34.40.-29,UNSAT,0.03,703,6ca19e572cc5e4f38d3eceee16be66ecfb4896ce6cdf2d486c08251892f94e10,34959
-37.31.43.-33.41.-34.40.29,UNSAT,0.05,1668,114f3a6f9aa5df53dd53e9ffa7625d06e22bc8cab3e7c3d53eb7d9289b907a19,77195
-37.31.43.-33.41.-34.-40.-29,UNSAT,0.01,676,644884b19a387366128bb488af347b55ea23d0414e8503b9d51dd87df0dd3a5d,33594
-37.31.43.-33.41.-34.-40.29,UNSAT,0.04,1303,ec6f2575396e13aee81eb0bfee10aac73af440ad4e3f89e7ed394364ec26e81c,63067
-37.31.43.-33.-41.34.40.29,INDET,0.03,,,
-37.31.43.-33.-41.34.40.29,SPLIT,0.03,,,->16 kids
-37.31.43.-33.-41.34.40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.31.43.-33.-41.34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.31.43.-33.-41.34.-40.29,UNSAT,0.01,1314,876f867a2a7bfb5acf38cc7d686a8708f395936b1be45021169a429c03bba46c,77521
-37.31.43.-33.-41.-34.40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
