i,c_i,se
2.800000000000000000e+02,1.296497026971727556e-02,9.725926155362211566e-05
2.810000000000000000e+02,2.209993662314862009e-02,1.290391307896741034e-04
2.820000000000000000e+02,1.917866221331060092e-02,1.239466250718435645e-04
2.830000000000000000e+02,3.388345466714352133e-02,1.676784343022427043e-04
2.840000000000000000e+02,1.595069008784740991e-02,1.148467705088748882e-04
2.850000000000000000e+02,2.812568754182010952e-02,1.555504209519267855e-04
2.860000000000000000e+02,2.518522458610683579e-02,1.505037807850334618e-04
2.870000000000000000e+02,4.582384074559062853e-02,2.063419240876787685e-04
2.880000000000000000e+02,1.193238945935666540e-02,8.580208371497153545e-05
2.890000000000000000e+02,2.007171980812400697e-02,1.134820341205938511e-04
2.900000000000000000e+02,1.726455691615491964e-02,1.090029718151766687e-04
2.910000000000000000e+02,3.001383238616585694e-02,1.452698214369473604e-04
2.920000000000000000e+02,1.384330454694479746e-02,9.703554964940148215e-05
2.930000000000000000e+02,2.406179784788936224e-02,1.318607649952670854e-04
2.940000000000000000e+02,2.125150274976343040e-02,1.264785122437829176e-04
2.950000000000000000e+02,3.806473869183659570e-02,1.727459567643575735e-04
2.960000000000000000e+02,1.197947160395234842e-02,8.985288835273099622e-05
2.970000000000000000e+02,2.044428885348141198e-02,1.205722686124883689e-04
2.980000000000000000e+02,1.779189901573955887e-02,1.168184096814060331e-04
2.990000000000000000e+02,3.130927970825135576e-02,1.560546277448120309e-04
3.000000000000000000e+02,1.473038529632240620e-02,1.075992541673693727e-04
3.010000000000000000e+02,2.598062650314718336e-02,1.465054107464198486e-04
3.020000000000000000e+02,2.326843489559739936e-02,1.418844751210944033e-04
3.030000000000000000e+02,4.215212793821096482e-02,1.935967137860092292e-04
3.040000000000000000e+02,1.137432462783157829e-02,8.552084890117325441e-05
3.050000000000000000e+02,1.925889407227933392e-02,1.142015043672482970e-04
3.060000000000000000e+02,1.662951119252294163e-02,1.100031375526845851e-04
3.070000000000000000e+02,2.912035417309403323e-02,1.471070656578336074e-04
3.080000000000000000e+02,1.351214268083125378e-02,9.994419222267210976e-05
3.090000000000000000e+02,2.358591533600538914e-02,1.351945259479471343e-04
3.100000000000000000e+02,2.099584543132037087e-02,1.309175469914094494e-04
3.110000000000000000e+02,3.758181915490329400e-02,1.772585929392265429e-04
3.120000000000000000e+02,1.173684768185019427e-02,9.270296695985153922e-05
3.130000000000000000e+02,2.024545683667063750e-02,1.254550140778707703e-04
3.140000000000000000e+02,1.771568676382303392e-02,1.209752187482434634e-04
3.150000000000000000e+02,3.152568006993085314e-02,1.641493423618417742e-04
3.160000000000000000e+02,1.479749635814875397e-02,1.130966834568720189e-04
3.170000000000000000e+02,2.636655337537825022e-02,1.541809139051474324e-04
3.180000000000000000e+02,2.376880459292233030e-02,1.492437006600959358e-04
3.190000000000000000e+02,4.352524547892808876e-02,2.054517318359873411e-04
3.200000000000000000e+02,1.077442401197552767e-02,8.097265613353785217e-05
3.210000000000000000e+02,1.824725664020329652e-02,1.076755852894157982e-04
3.220000000000000000e+02,1.576028063859045633e-02,1.029771164531215059e-04
3.230000000000000000e+02,2.757447894308715994e-02,1.382373064855963265e-04
3.240000000000000000e+02,1.259640848697721888e-02,9.187624522335537428e-05
3.250000000000000000e+02,2.189997816135734465e-02,1.240239700949949907e-04
3.260000000000000000e+02,1.962962062086909959e-02,1.203002080139729596e-04
